модель;8 бар;10 бар
HC-7,5BFE;1;0.9
HB-7,5BT;1;0.9
HB-7,5BTE;1;0.9
HB-7,5BF;1;0.9
HB-7,5BFE;1;0.9
HC-11BT;1.7;1.5
HC-11BT 10;1.7;1.5
HC-11BT 8;;
HC-11BTE;1.7;1.5
HC-11BF;1.7;1.5
HC-11BF 8;;
HC-11BFE;1.7;1.5
HB-11BT;1.7;1.5
HB-11BTE;1.7;1.5
HB-11BF;1.7;1.5
HB-11BFE;1.7;1.5
HC-15BT;2;1.88
HC-15BT 8;;
HC-15BT 10;;
HC-15BTE;2;1.88
HC-15BF;2;1.88
HC-15BFE;2;1.88
HB-15BT;2;1.88
HB-15BTE;2;1.88
HB-15BF;2;1.88
HB-15BFE;2;1.88
BS-18,5BF 10;3;2.6
HC-18,5BT;3;2.6
HC-18,5BF;3;2.6
HC-18,5BTE;3;2.6
HC-18,5BFE;3;2.6
HB-18,5BT;3;2.6
HB-18,5BTE;3;2.6
HB-18,5BF;3;2.6
HB-18,5BFE;3;2.6
HC-22BT;3.6;3.2
HC-22BT 8;;
HC-22BTE;3.6;3.2
HC-22BF;3.6;3.2
HC-22BFE;3.6;3.2
HB-22BT;3.6;3.2
HB-22BTE;3.6;3.2
HB-22BF;3.6;3.2
HB-22BFE;3.6;3.2
HC-30BT;4.9;4.2
HC-30BT 8;;
HC-30BTE;4.9;4.2
HC-30BF;4.9;4.2
HC-30BFE;4.9;4.2
HB-30BT;5;4.2
HB-30BTE;5;4.2
HB-30BF;5;4.2
HB-30BFE;5;4.2
BS-37BF;;
HC-37BT;6;5.25
HC-37BT 10;;
HC-37BTE;6;5.25
HC-37BF;6;5.25
HC-37BFE;6;5.25
HB-37BT;6;5.25
HB-37BTE;6;5.25
HB-37BF;6;5.25
HB-37BFE;6;5.25
HA-37BT;6;5.25
HA-37BTE;6;5.25
HA-37BF;6;5.25
HA-37BFE;6;5.25
